id,year,week,season,team,pf,pa,opp,win,loss
122,2013,11,r,Timmy,98,91,Rose,1,0
123,2013,11,r,DenR,115,137,Fig,0,1
124,2013,11,r,Chad,121,90,Taylor,1,0
125,2013,11,r,The Boo,114,104,AJ,1,0
126,2013,11,r,Frankie,102,91,Nordy,1,0
127,2013,11,r,Billy,141,119,Big Boy,1,0
128,2013,11,r,Rose,91,98,Timmy,0,1
129,2013,11,r,Fig,137,115,DenR,1,0
130,2013,11,r,Taylor,90,121,Chad,0,1
131,2013,11,r,AJ,104,114,The Boo,0,1
132,2013,11,r,Nordy,91,102,Frankie,0,1
133,2013,12,r,Timmy,100,115,Billy,0,1
134,2013,12,r,DenR,77,161,Rose,0,1
135,2013,12,r,Chad,38,157,Fig,0,1
136,2013,12,r,The Boo,79,79,Taylor,0,1
137,2013,12,r,Frankie,96,103,AJ,0,1
138,2013,12,r,Big Boy,105,107,Nordy,0,1
139,2013,12,r,Billy,115,100,Timmy,1,0
140,2013,12,r,Rose,161,77,DenR,1,0
141,2013,12,r,Fig,157,38,Chad,1,0
142,2013,12,r,Taylor,79,79,The Boo,1,0
143,2013,12,r,AJ,103,96,Frankie,1,0
144,2013,12,r,Nordy,107,105,Big Boy,1,0
145,2013,13,r,Billy,132,91,DenR,1,0
146,2013,13,r,Rose,208,129,Chad,1,0
147,2013,13,r,Fig,98,87,The Boo,1,0
148,2013,13,r,Taylor,91,111,Frankie,0,1
149,2013,13,r,AJ,94,127,Big Boy,0,1
150,2013,13,r,Nordy,163,114,Timmy,1,0
151,2013,13,r,DenR,91,132,Billy,0,1
152,2013,13,r,Chad,129,208,Rose,0,1
153,2013,13,r,The Boo,87,98,Fig,0,1
154,2013,13,r,Frankie,111,91,Taylor,1,0
155,2013,13,r,Big Boy,127,94,AJ,1,0
156,2013,13,r,Timmy,114,163,Nordy,0,1
157,2013,DC,p,Rose,126,98,Fig,1,0
158,2013,DC,p,Fig,98,126,Rose,0,1
159,2013,SF,p,Nordy,88,113,Fig,0,1
160,2013,SF,p,Rose,147,121,Timmy,1,0
161,2013,SF,p,Fig,113,88,Nordy,1,0
162,2013,SF,p,Timmy,121,147,Rose,0,1
163,2013,WC,p,Big Boy,142,145,Nordy,0,1
164,2013,WC,p,AJ,93,135,Rose,0,1
165,2013,WC,p,Nordy,145,142,Big Boy,1,0
166,2013,WC,p,Rose,135,93,AJ,1,0
167,2014,1,r,Timmy,92,138,DenR,0,1
168,2014,1,r,Chad,96,119,Big Boy,0,1
169,2014,1,r,The Boo,131,125,Frankie,1,0
170,2014,1,r,Billy,152,90,Rose,1,0
171,2014,1,r,Fig,154,75,Nordy,1,0
172,2014,1,r,Taylor,103,80,AJ,1,0
173,2014,1,r,DenR,138,92,Timmy,1,0
174,2014,1,r,Big Boy,119,96,Chad,1,0
175,2014,1,r,Frankie,125,131,The Boo,0,1
176,2014,1,r,Rose,90,152,Billy,0,1
177,2014,1,r,Nordy,75,154,Fig,0,1
178,2014,1,r,AJ,80,103,Taylor,0,1
179,2014,2,r,Chad,127,85,Timmy,1,0
