id,year,week,season,team,pf,pa,opp,win,loss
518,2016,5,r,Rose,126,84,Frankie,1,0
519,2016,5,r,Chad,97,154,Big Boy,0,1
520,2016,5,r,Nordy,96,121,Timmy,0,1
521,2016,5,r,Fig,100,144,Billy,0,1
522,2016,5,r,DenR,142,117,The Boo,1,0
523,2016,6,r,Billy,109,124,Timmy,0,1
524,2016,6,r,Fig,122,128,The Boo,0,1
525,2016,6,r,Chad,155,108,DenR,1,0
526,2016,6,r,Rose,86,46,Nordy,1,0
527,2016,6,r,Big Boy,71,124,Frankie,0,1
528,2016,6,r,Timmy,124,109,Billy,1,0
529,2016,6,r,The Boo,128,122,Fig,1,0
530,2016,6,r,DenR,108,155,Chad,0,1
531,2016,6,r,Nordy,46,86,Rose,0,1
532,2016,6,r,Frankie,124,71,Big Boy,1,0
533,2016,7,r,Timmy,140,169,Fig,0,1
534,2016,7,r,The Boo,120,78,Chad,1,0
535,2016,7,r,DenR,59,91,Rose,0,1
536,2016,7,r,Nordy,143,108,Big Boy,1,0
537,2016,7,r,Frankie,121,112,Billy,1,0
538,2016,7,r,Fig,169,140,Timmy,1,0
539,2016,7,r,Chad,78,120,The Boo,0,1
540,2016,7,r,Rose,91,59,DenR,1,0
541,2016,7,r,Big Boy,108,143,Nordy,0,1
542,2016,7,r,Billy,112,121,Frankie,0,1
543,2016,8,r,Chad,111,121,Timmy,0,1
544,2016,8,r,Rose,92,111,The Boo,0,1
545,2016,8,r,Big Boy,107,118,DenR,0,1
546,2016,8,r,Billy,148,122,Nordy,1,0
547,2016,8,r,Fig,121,111,Frankie,1,0
548,2016,8,r,Timmy,121,111,Chad,1,0
549,2016,8,r,The Boo,111,92,Rose,1,0
550,2016,8,r,DenR,118,107,Big Boy,1,0
551,2016,8,r,Nordy,122,148,Billy,0,1
552,2016,8,r,Frankie,111,121,Fig,0,1
553,2016,9,r,Timmy,114,103,Rose,1,0
554,2016,9,r,Chad,127,99,Big Boy,1,0
555,2016,9,r,Frankie,152,118,The Boo,1,0
556,2016,9,r,Fig,135,106,Billy,1,0
557,2016,9,r,Nordy,119,135,DenR,0,1
558,2016,9,r,Rose,103,114,Timmy,0,1
559,2016,9,r,Big Boy,99,127,Chad,0,1
560,2016,9,r,The Boo,118,152,Frankie,0,1
561,2016,9,r,Billy,106,135,Fig,0,1
562,2016,9,r,DenR,135,119,Nordy,1,0
563,2016,10,r,The Boo,125,108,Big Boy,1,0
564,2016,10,r,Rose,101,116,Billy,0,1
565,2016,10,r,DenR,143,128,Timmy,1,0
566,2016,10,r,Chad,98,124,Fig,0,1
567,2016,10,r,Nordy,128,154,Frankie,0,1
568,2016,10,r,Big Boy,108,125,The Boo,0,1
569,2016,10,r,Billy,116,101,Rose,1,0
570,2016,10,r,Timmy,128,143,DenR,0,1
571,2016,10,r,Fig,124,98,Chad,1,0
572,2016,10,r,Frankie,154,128,Nordy,1,0
573,2016,11,r,DenR,130,132,Billy,0,1
574,2016,11,r,Fig,87,116,Big Boy,0,1
575,2016,11,r,The Boo,121,97,Nordy,1,0
576,2016,11,r,Chad,105,119,Rose,0,1
577,2016,11,r,Timmy,149,84,Frankie,1,0
578,2016,11,r,Billy,132,130,DenR,1,0
579,2016,11,r,Big Boy,116,87,Fig,1,0
580,2016,11,r,Nordy,97,121,The Boo,0,1
581,2016,11,r,Rose,119,105,Chad,1,0
582,2016,11,r,Frankie,84,149,Timmy,0,1
583,2016,12,r,Nordy,119,110,Fig,1,0
584,2016,12,r,Billy,119,126,Chad,0,1
585,2016,12,r,Frankie,90,115,DenR,0,1
586,2016,12,r,Big Boy,113,130,Rose,0,1
587,2016,12,r,Timmy,113,127,The Boo,0,1
588,2016,12,r,Fig,110,119,Nordy,0,1
589,2016,12,r,Chad,126,119,Billy,1,0
590,2016,12,r,DenR,115,90,Frankie,1,0
591,2016,12,r,Rose,130,113,Big Boy,1,0
592,2016,12,r,The Boo,127,113,Timmy,1,0
593,2016,13,r,Frankie,112,138,Chad,0,1
594,2016,13,r,Rose,84,128,Fig,0,1
595,2016,13,r,Nordy,82,157,Timmy,0,1
596,2016,13,r,Big Boy,140,101,Billy,1,0
597,2016,13,r,DenR,94,149,The Boo,0,1
598,2016,13,r,Chad,138,112,Frankie,1,0
599,2016,13,r,Fig,128,84,Rose,1,0
600,2016,13,r,Timmy,157,82,Nordy,1,0
601,2016,13,r,Billy,101,140,Big Boy,0,1
602,2016,13,r,The Boo,149,94,DenR,1,0
603,2016,DC,p,DenR,148,145,The Boo,1,0
604,2016,DC,p,The Boo,145,148,DenR,0,1
605,2016,SF,p,DenR,131,111,Timmy,1,0
606,2016,SF,p,The Boo,120,68,Rose,1,0
607,2016,SF,p,Timmy,111,131,DenR,0,1
608,2016,SF,p,Rose,68,120,The Boo,0,1
609,2016,WC,p,DenR,116,87,Fig,1,0
610,2016,WC,p,Billy,38,149,The Boo,0,1
611,2016,WC,p,Fig,87,116,DenR,0,1
612,2016,WC,p,The Boo,149,38,Billy,1,0
613,2017,1,r,Timmy,114,74,Big Boy,1,0
614,2017,1,r,Billy,106,102,Rose,1,0
615,2017,1,r,The Boo,93,94,Frankie,0,1
616,2017,1,r,Fig,92,124,Chad,0,1
617,2017,1,r,DenR,107,126,Nordy,0,1
618,2017,1,r,Big Boy,74,114,Timmy,0,1
619,2017,1,r,Rose,102,106,Billy,0,1
620,2017,1,r,Frankie,94,93,The Boo,1,0
621,2017,1,r,Chad,124,92,Fig,1,0
622,2017,1,r,Nordy,126,107,DenR,1,0
623,2017,2,r,The Boo,109,105,Billy,1,0
624,2017,2,r,Big Boy,70,122,Fig,0,1
625,2017,2,r,Timmy,117,99,DenR,1,0
626,2017,2,r,Rose,93,126,Chad,0,1
627,2017,2,r,Frankie,127,96,Nordy,1,0
628,2017,2,r,Billy,105,109,The Boo,0,1
629,2017,2,r,Fig,122,70,Big Boy,1,0
630,2017,2,r,DenR,99,117,Timmy,0,1
631,2017,2,r,Chad,126,93,Rose,1,0
632,2017,2,r,Nordy,96,127,Frankie,0,1
633,2017,3,r,DenR,90,99,Fig,0,1
634,2017,3,r,Chad,109,115,Billy,0,1
635,2017,3,r,Nordy,129,177,The Boo,0,1
636,2017,3,r,Rose,117,134,Big Boy,0,1
637,2017,3,r,Frankie,126,45,Timmy,1,0
638,2017,3,r,Fig,99,90,DenR,1,0
639,2017,3,r,Billy,115,109,Chad,1,0
640,2017,3,r,The Boo,177,129,Nordy,1,0
641,2017,3,r,Big Boy,134,117,Rose,1,0
642,2017,3,r,Timmy,45,126,Frankie,0,1
643,2017,4,r,Nordy,119,107,Chad,1,0
644,2017,4,r,Fig,109,122,Rose,0,1
645,2017,4,r,DenR,142,103,Frankie,1,0
646,2017,4,r,Billy,75,82,Big Boy,0,1
647,2017,4,r,The Boo,110,82,Timmy,1,0
648,2017,4,r,Chad,107,119,Nordy,0,1
649,2017,4,r,Rose,122,109,Fig,1,0
650,2017,4,r,Frankie,103,142,DenR,0,1
651,2017,4,r,Big Boy,82,75,Billy,1,0
652,2017,4,r,Timmy,82,110,The Boo,0,1
653,2017,5,r,Frankie,72,117,Rose,0,1
654,2017,5,r,Big Boy,139,143,Chad,0,1
655,2017,5,r,Timmy,121,94,Nordy,1,0
656,2017,5,r,Billy,96,121,Fig,0,1
657,2017,5,r,The Boo,63,117,DenR,0,1
658,2017,5,r,Rose,117,72,Frankie,1,0
659,2017,5,r,Chad,143,139,Big Boy,1,0
660,2017,5,r,Nordy,94,121,Timmy,0,1
661,2017,5,r,Fig,121,96,Billy,1,0
662,2017,5,r,DenR,117,63,The Boo,1,0
663,2017,6,r,Billy,98,136,Timmy,0,1
664,2017,6,r,Fig,85,108,The Boo,0,1
665,2017,6,r,Chad,129,88,DenR,1,0
666,2017,6,r,Rose,127,100,Nordy,1,0
667,2017,6,r,Big Boy,100,166,Frankie,0,1
668,2017,6,r,Timmy,136,98,Billy,1,0
669,2017,6,r,The Boo,108,85,Fig,1,0
670,2017,6,r,DenR,88,129,Chad,0,1
671,2017,6,r,Nordy,100,127,Rose,0,1
672,2017,6,r,Frankie,166,100,Big Boy,1,0
673,2017,7,r,Timmy,125,88,Fig,1,0
674,2017,7,r,The Boo,102,142,Chad,0,1
675,2017,7,r,DenR,139,102,Rose,1,0
676,2017,7,r,Nordy,114,98,Big Boy,1,0
677,2017,7,r,Frankie,88,78,Billy,1,0
678,2017,7,r,Fig,88,125,Timmy,0,1
679,2017,7,r,Chad,142,102,The Boo,1,0
680,2017,7,r,Rose,102,139,DenR,0,1
681,2017,7,r,Big Boy,98,114,Nordy,0,1
682,2017,7,r,Billy,78,88,Frankie,0,1
683,2017,8,r,Chad,100,139,Timmy,0,1
684,2017,8,r,Rose,107,87,The Boo,1,0
685,2017,8,r,Big Boy,101,123,DenR,0,1
686,2017,8,r,Billy,74,94,Nordy,0,1
687,2017,8,r,Fig,140,115,Frankie,1,0
688,2017,8,r,Timmy,139,100,Chad,1,0
689,2017,8,r,The Boo,87,107,Rose,0,1
690,2017,8,r,DenR,123,101,Big Boy,1,0
691,2017,8,r,Nordy,94,74,Billy,1,0
692,2017,8,r,Frankie,115,140,Fig,0,1
693,2017,9,r,Timmy,96,92,Rose,1,0
694,2017,9,r,Chad,118,89,Big Boy,1,0
695,2017,9,r,Frankie,130,113,The Boo,1,0
696,2017,9,r,Fig,90,83,Billy,1,0
697,2017,9,r,Nordy,124,101,DenR,1,0
698,2017,9,r,Rose,92,96,Timmy,0,1
699,2017,9,r,Big Boy,89,118,Chad,0,1
700,2017,9,r,The Boo,113,130,Frankie,0,1
701,2017,9,r,Billy,83,90,Fig,0,1
702,2017,9,r,DenR,101,124,Nordy,0,1
703,2017,10,r,The Boo,86,99,Big Boy,0,1
704,2017,10,r,Rose,130,83,Billy,1,0
705,2017,10,r,DenR,81,91,Timmy,0,1
706,2017,10,r,Chad,137,111,Fig,1,0
707,2017,10,r,Nordy,107,137,Frankie,0,1
708,2017,10,r,Big Boy,99,86,The Boo,1,0
709,2017,10,r,Billy,83,130,Rose,0,1
710,2017,10,r,Timmy,91,81,DenR,1,0
711,2017,10,r,Fig,111,137,Chad,0,1
712,2017,10,r,Frankie,137,107,Nordy,1,0
713,2017,11,r,DenR,107,54,Billy,1,0
714,2017,11,r,Fig,129,87,Big Boy,1,0
715,2017,11,r,The Boo,130,159,Nordy,0,1
716,2017,11,r,Chad,109,136,Rose,0,1
717,2017,11,r,Timmy,147,117,Frankie,1,0
718,2017,11,r,Billy,54,107,DenR,0,1
719,2017,11,r,Big Boy,87,129,Fig,0,1
720,2017,11,r,Nordy,159,130,The Boo,1,0
721,2017,11,r,Rose,136,109,Chad,1,0
722,2017,11,r,Frankie,117,147,Timmy,0,1
723,2017,12,r,Nordy,154,115,Fig,1,0
724,2017,12,r,Billy,92,139,Chad,0,1
725,2017,12,r,Frankie,114,117,DenR,0,1
726,2017,12,r,Big Boy,92,96,Rose,0,1
727,2017,12,r,Timmy,83,97,The Boo,0,1
728,2017,12,r,Fig,115,154,Nordy,0,1
729,2017,12,r,Chad,139,92,Billy,1,0
730,2017,12,r,DenR,117,114,Frankie,1,0
731,2017,12,r,Rose,96,92,Big Boy,1,0
732,2017,12,r,The Boo,97,83,Timmy,1,0
733,2017,13,r,Frankie,117,100,Chad,1,0
734,2017,13,r,Rose,134,119,Fig,1,0
735,2017,13,r,Nordy,136,113,Timmy,1,0
736,2017,13,r,Big Boy,70,61,Billy,1,0
737,2017,13,r,DenR,115,80,The Boo,1,0
738,2017,13,r,Chad,100,117,Frankie,0,1
739,2017,13,r,Fig,119,134,Rose,0,1
740,2017,13,r,Timmy,113,136,Nordy,0,1
741,2017,13,r,Billy,61,70,Big Boy,0,1
742,2017,13,r,The Boo,80,115,DenR,0,1
743,2017,DC,p,Frankie,115,125,Chad,0,1
744,2017,DC,p,Chad,125,115,Frankie,1,0
745,2017,SF,p,Frankie,121,119,Timmy,1,0
746,2017,SF,p,Nordy,121,134,Chad,0,1
747,2017,SF,p,Timmy,119,121,Frankie,0,1
748,2017,SF,p,Chad,134,121,Nordy,1,0
749,2017,WC,p,Frankie,117,96,Rose,1,0
750,2017,WC,p,DenR,107,114,Nordy,0,1
751,2017,WC,p,Rose,96,117,Frankie,0,1
752,2017,WC,p,Nordy,114,107,DenR,1,0
753,2018,1,r,Timmy,102,127,Big Boy,0,1
754,2018,1,r,Billy,104,135,Rose,0,1
755,2018,1,r,The Boo,148,137,Frankie,1,0
756,2018,1,r,Fig,139,121,Chad,1,0
757,2018,1,r,DenR,101,129,Nordy,0,1
758,2018,1,r,Big Boy,127,102,Timmy,1,0
759,2018,1,r,Rose,135,104,Billy,1,0
760,2018,1,r,Frankie,137,148,The Boo,0,1
761,2018,1,r,Chad,121,139,Fig,0,1
762,2018,1,r,Nordy,129,101,DenR,1,0
763,2018,2,r,The Boo,136,90,Billy,1,0
764,2018,2,r,Big Boy,121,141,Fig,0,1
765,2018,2,r,Timmy,88,131,DenR,0,1
766,2018,2,r,Rose,151,160,Chad,0,1
767,2018,2,r,Frankie,133,124,Nordy,1,0
768,2018,2,r,Billy,90,136,The Boo,0,1
769,2018,2,r,Fig,141,121,Big Boy,1,0
770,2018,2,r,DenR,131,88,Timmy,1,0
771,2018,2,r,Chad,160,151,Rose,1,0
772,2018,2,r,Nordy,124,133,Frankie,0,1
773,2018,3,r,DenR,142,120,Fig,1,0
774,2018,3,r,Chad,109,108,Billy,1,0
775,2018,3,r,Nordy,120,114,The Boo,1,0
776,2018,3,r,Rose,122,109,Big Boy,1,0
777,2018,3,r,Frankie,95,80,Timmy,1,0
778,2018,3,r,Fig,120,142,DenR,0,1
779,2018,3,r,Billy,108,109,Chad,0,1
780,2018,3,r,The Boo,114,120,Nordy,0,1
781,2018,3,r,Big Boy,109,122,Rose,0,1
782,2018,3,r,Timmy,80,95,Frankie,0,1
783,2018,4,r,Nordy,124,157,Chad,0,1
784,2018,4,r,Fig,118,139,Rose,0,1
785,2018,4,r,DenR,124,130,Frankie,0,1
786,2018,4,r,Billy,115,111,Big Boy,1,0
787,2018,4,r,The Boo,92,113,Timmy,0,1
788,2018,4,r,Chad,157,124,Nordy,1,0
789,2018,4,r,Rose,139,118,Fig,1,0
790,2018,4,r,Frankie,130,124,DenR,1,0
791,2018,4,r,Big Boy,111,115,Billy,0,1
792,2018,4,r,Timmy,113,92,The Boo,1,0
793,2018,5,r,Frankie,120,113,Rose,1,0
794,2018,5,r,Big Boy,119,106,Chad,1,0
795,2018,5,r,Timmy,128,136,Nordy,0,1
796,2018,5,r,Billy,98,149,Fig,0,1
797,2018,5,r,The Boo,129,116,DenR,1,0
798,2018,5,r,Rose,113,120,Frankie,0,1
799,2018,5,r,Chad,106,119,Big Boy,0,1
800,2018,5,r,Nordy,136,128,Timmy,1,0
801,2018,5,r,Fig,149,98,Billy,1,0
802,2018,5,r,DenR,116,129,The Boo,0,1
803,2018,6,r,Billy,162,125,Timmy,1,0
804,2018,6,r,Fig,166,112,The Boo,1,0
805,2018,6,r,Chad,99,97,DenR,1,0
806,2018,6,r,Rose,114,94,Nordy,1,0
807,2018,6,r,Big Boy,121,172,Frankie,0,1
808,2018,6,r,Timmy,125,162,Billy,0,1
809,2018,6,r,The Boo,112,166,Fig,0,1
810,2018,6,r,DenR,97,99,Chad,0,1
811,2018,6,r,Nordy,94,114,Rose,0,1
812,2018,6,r,Frankie,172,121,Big Boy,1,0
813,2018,7,r,Timmy,102,120,Fig,0,1
814,2018,7,r,The Boo,107,171,Chad,0,1
815,2018,7,r,DenR,104,141,Rose,0,1
816,2018,7,r,Nordy,111,116,Big Boy,0,1
817,2018,7,r,Frankie,181,109,Billy,1,0
818,2018,7,r,Fig,120,102,Timmy,1,0
819,2018,7,r,Chad,171,107,The Boo,1,0
820,2018,7,r,Rose,141,104,DenR,1,0
821,2018,7,r,Big Boy,116,111,Nordy,1,0
822,2018,7,r,Billy,109,181,Frankie,0,1
823,2018,8,r,Chad,138,114,Timmy,1,0
824,2018,8,r,Rose,142,106,The Boo,1,0
825,2018,8,r,Big Boy,87,141,DenR,0,1
826,2018,8,r,Billy,93,131,Nordy,0,1
827,2018,8,r,Fig,131,119,Frankie,1,0
828,2018,8,r,Timmy,114,138,Chad,0,1
829,2018,8,r,The Boo,106,142,Rose,0,1
830,2018,8,r,DenR,141,87,Big Boy,1,0
831,2018,8,r,Nordy,131,93,Billy,1,0
832,2018,8,r,Frankie,119,131,Fig,0,1
833,2018,9,r,Timmy,141,124,Rose,1,0
834,2018,9,r,Chad,219,68,Big Boy,1,0
835,2018,9,r,Frankie,78,124,The Boo,0,1
836,2018,9,r,Fig,121,77,Billy,1,0
837,2018,9,r,Nordy,97,119,DenR,0,1
838,2018,9,r,Rose,124,141,Timmy,0,1
839,2018,9,r,Big Boy,68,219,Chad,0,1
840,2018,9,r,The Boo,124,78,Frankie,1,0
841,2018,9,r,Billy,77,121,Fig,0,1
842,2018,9,r,DenR,119,97,Nordy,1,0
843,2018,10,r,The Boo,126,109,Big Boy,1,0
844,2018,10,r,Rose,122,146,Billy,0,1
845,2018,10,r,DenR,148,121,Timmy,1,0
846,2018,10,r,Chad,129,123,Fig,1,0
847,2018,10,r,Nordy,121,119,Frankie,1,0
848,2018,10,r,Big Boy,109,126,The Boo,0,1
849,2018,10,r,Billy,146,122,Rose,1,0
850,2018,10,r,Timmy,121,148,DenR,0,1
851,2018,10,r,Fig,123,129,Chad,0,1
852,2018,10,r,Frankie,119,121,Nordy,0,1
853,2018,11,r,DenR,153,122,Billy,1,0
854,2018,11,r,Fig,105,166,Big Boy,0,1
855,2018,11,r,The Boo,102,89,Nordy,1,0
856,2018,11,r,Chad,148,128,Rose,1,0
857,2018,11,r,Timmy,125,88,Frankie,1,0
858,2018,11,r,Billy,122,153,DenR,0,1
859,2018,11,r,Big Boy,166,105,Fig,1,0
860,2018,11,r,Nordy,89,102,The Boo,0,1
861,2018,11,r,Rose,128,148,Chad,0,1
862,2018,11,r,Frankie,88,125,Timmy,0,1
863,2018,12,r,Nordy,113,126,Fig,0,1
864,2018,12,r,Billy,154,142,Chad,1,0
865,2018,12,r,Frankie,136,151,DenR,0,1
866,2018,12,r,Big Boy,95,151,Rose,0,1
867,2018,12,r,Timmy,124,95,The Boo,1,0
868,2018,12,r,Fig,126,113,Nordy,1,0
869,2018,12,r,Chad,142,154,Billy,0,1
870,2018,12,r,DenR,151,136,Frankie,1,0
871,2018,12,r,Rose,151,95,Big Boy,1,0
872,2018,12,r,The Boo,95,124,Timmy,0,1
873,2018,13,r,Frankie,105,101,Chad,1,0
874,2018,13,r,Rose,159,127,Fig,1,0
875,2018,13,r,Nordy,110,107,Timmy,1,0
876,2018,13,r,Big Boy,67,121,Billy,0,1
877,2018,13,r,DenR,111,120,The Boo,0,1
878,2018,13,r,Chad,101,105,Frankie,0,1
879,2018,13,r,Fig,127,159,Rose,0,1
880,2018,13,r,Timmy,107,110,Nordy,0,1
881,2018,13,r,Billy,121,67,Big Boy,1,0
882,2018,13,r,The Boo,120,111,DenR,1,0
883,2018,DC,p,Fig,100,136,The Boo,0,1
884,2018,DC,p,The Boo,136,100,Fig,1,0
885,2018,SF,p,Fig,133,124,Chad,1,0
886,2018,SF,p,Frankie,82,102,The Boo,0,1
887,2018,SF,p,Chad,124,133,Fig,0,1
888,2018,SF,p,The Boo,102,82,Frankie,1,0
889,2018,WC,p,DenR,146,158,Fig,0,1
890,2018,WC,p,Frankie,131,128,Rose,1,0
891,2018,WC,p,Fig,158,146,DenR,1,0
892,2018,WC,p,Rose,128,131,Frankie,0,1
893,2019,1,r,Timmy,145,129,Big Boy,1,0
894,2019,1,r,Billy,100,163,Rose,0,1
895,2019,1,r,The Boo,97,125,Frankie,0,1
896,2019,1,r,Fig,98,98,Chad,1,0
897,2019,1,r,DenR,119,163,Nordy,0,1
898,2019,1,r,Big Boy,129,145,Timmy,0,1
899,2019,1,r,Rose,163,100,Billy,1,0
900,2019,1,r,Frankie,125,97,The Boo,1,0
901,2019,1,r,Chad,98,98,Fig,0,1
902,2019,1,r,Nordy,163,119,DenR,1,0
903,2019,2,r,The Boo,110,112,Billy,0,1
904,2019,2,r,Big Boy,100,85,Fig,1,0
905,2019,2,r,Timmy,101,137,DenR,0,1
906,2019,2,r,Rose,138,118,Chad,1,0
907,2019,2,r,Frankie,124,122,Nordy,1,0
908,2019,2,r,Billy,112,110,The Boo,1,0
909,2019,2,r,Fig,85,100,Big Boy,0,1
910,2019,2,r,DenR,137,101,Timmy,1,0
911,2019,2,r,Chad,118,138,Rose,0,1
912,2019,2,r,Nordy,122,124,Frankie,0,1
913,2019,3,r,DenR,134,81,Fig,1,0
914,2019,3,r,Chad,114,114,Billy,0,1
915,2019,3,r,Nordy,153,87,The Boo,1,0
916,2019,3,r,Rose,137,135,Big Boy,1,0
917,2019,3,r,Frankie,154,143,Timmy,1,0
918,2019,3,r,Fig,81,134,DenR,0,1
919,2019,3,r,Billy,114,114,Chad,1,0
920,2019,3,r,The Boo,87,153,Nordy,0,1
921,2019,3,r,Big Boy,135,137,Rose,0,1
922,2019,3,r,Timmy,143,154,Frankie,0,1
923,2019,4,r,Nordy,95,107,Chad,0,1
924,2019,4,r,Fig,133,144,Rose,0,1
925,2019,4,r,DenR,81,130,Frankie,0,1
926,2019,4,r,Billy,100,96,Big Boy,1,0
927,2019,4,r,The Boo,120,122,Timmy,0,1
928,2019,4,r,Chad,107,95,Nordy,1,0
929,2019,4,r,Rose,144,133,Fig,1,0
930,2019,4,r,Frankie,130,81,DenR,1,0
931,2019,4,r,Big Boy,96,100,Billy,0,1
932,2019,4,r,Timmy,122,120,The Boo,1,0
933,2019,5,r,Frankie,144,143,Rose,1,0
934,2019,5,r,Big Boy,135,100,Chad,1,0
935,2019,5,r,Timmy,80,140,Nordy,0,1
936,2019,5,r,Billy,104,133,Fig,0,1
937,2019,5,r,The Boo,140,86,DenR,1,0
938,2019,5,r,Rose,143,144,Frankie,0,1
939,2019,5,r,Chad,100,135,Big Boy,0,1
940,2019,5,r,Nordy,140,80,Timmy,1,0
941,2019,5,r,Fig,133,104,Billy,1,0
942,2019,5,r,DenR,86,140,The Boo,0,1
943,2019,6,r,Billy,61,99,Timmy,0,1
944,2019,6,r,Fig,142,121,The Boo,1,0
945,2019,6,r,Chad,134,94,DenR,1,0
946,2019,6,r,Rose,125,142,Nordy,0,1
947,2019,6,r,Big Boy,88,147,Frankie,0,1
948,2019,6,r,Timmy,99,61,Billy,1,0
949,2019,6,r,The Boo,121,142,Fig,0,1
950,2019,6,r,DenR,94,134,Chad,0,1
951,2019,6,r,Nordy,142,125,Rose,1,0
952,2019,6,r,Frankie,147,88,Big Boy,1,0
953,2019,7,r,Timmy,125,100,Fig,1,0
954,2019,7,r,The Boo,81,120,Chad,0,1
955,2019,7,r,DenR,142,100,Rose,1,0
956,2019,7,r,Nordy,99,92,Big Boy,1,0
957,2019,7,r,Frankie,137,102,Billy,1,0
958,2019,7,r,Fig,100,125,Timmy,0,1
959,2019,7,r,Chad,120,81,The Boo,1,0
960,2019,7,r,Rose,100,142,DenR,0,1
961,2019,7,r,Big Boy,92,99,Nordy,0,1
962,2019,7,r,Billy,102,137,Frankie,0,1
963,2019,8,r,Chad,127,197,Timmy,0,1
964,2019,8,r,Rose,81,100,The Boo,0,1
965,2019,8,r,Big Boy,146,119,DenR,1,0
966,2019,8,r,Billy,89,103,Nordy,0,1
967,2019,8,r,Fig,132,147,Frankie,0,1
968,2019,8,r,Timmy,197,127,Chad,1,0
969,2019,8,r,The Boo,100,81,Rose,1,0
970,2019,8,r,DenR,119,146,Big Boy,0,1
971,2019,8,r,Nordy,103,89,Billy,1,0
972,2019,8,r,Frankie,147,132,Fig,1,0
973,2019,9,r,Timmy,122,132,Rose,0,1
974,2019,9,r,Chad,104,106,Big Boy,0,1
975,2019,9,r,Frankie,128,162,The Boo,0,1
976,2019,9,r,Fig,73,107,Billy,0,1
977,2019,9,r,Nordy,94,135,DenR,0,1
978,2019,9,r,Rose,132,122,Timmy,1,0
979,2019,9,r,Big Boy,106,104,Chad,1,0
980,2019,9,r,The Boo,162,128,Frankie,1,0
981,2019,9,r,Billy,107,73,Fig,1,0
982,2019,9,r,DenR,135,94,Nordy,1,0
983,2019,10,r,The Boo,87,85,Big Boy,1,0
984,2019,10,r,Rose,119,166,Billy,0,1
985,2019,10,r,DenR,117,156,Timmy,0,1
986,2019,10,r,Chad,136,98,Fig,1,0
987,2019,10,r,Nordy,110,86,Frankie,1,0
988,2019,10,r,Big Boy,85,87,The Boo,0,1
989,2019,10,r,Billy,166,119,Rose,1,0
990,2019,10,r,Timmy,156,117,DenR,1,0
991,2019,10,r,Fig,98,136,Chad,0,1
992,2019,10,r,Frankie,86,110,Nordy,0,1
993,2019,11,r,DenR,114,98,Billy,1,0
994,2019,11,r,Fig,93,113,Big Boy,0,1
995,2019,11,r,The Boo,108,90,Nordy,1,0
996,2019,11,r,Chad,147,114,Rose,1,0
997,2019,11,r,Timmy,120,103,Frankie,1,0
998,2019,11,r,Billy,98,114,DenR,0,1
999,2019,11,r,Big Boy,113,93,Fig,1,0
1000,2019,11,r,Nordy,90,108,The Boo,0,1
1001,2019,11,r,Rose,114,147,Chad,0,1
1002,2019,11,r,Frankie,103,120,Timmy,0,1
1003,2019,12,r,Nordy,88,102,Fig,0,1
1004,2019,12,r,Billy,81,145,Chad,0,1
1005,2019,12,r,Frankie,90,119,DenR,0,1
1006,2019,12,r,Big Boy,109,125,Rose,0,1
1007,2019,12,r,Timmy,120,146,The Boo,0,1
1008,2019,12,r,Fig,102,88,Nordy,1,0
1009,2019,12,r,Chad,145,81,Billy,1,0
1010,2019,12,r,DenR,119,90,Frankie,1,0
1011,2019,12,r,Rose,125,109,Big Boy,1,0
1012,2019,12,r,The Boo,146,120,Timmy,1,0
1013,2019,13,r,Frankie,126,93,Chad,1,0
1014,2019,13,r,Rose,108,141,Fig,0,1
1015,2019,13,r,Nordy,101,89,Timmy,1,0
1016,2019,13,r,Big Boy,96,107,Billy,0,1
1017,2019,13,r,DenR,94,75,The Boo,1,0
1018,2019,13,r,Chad,93,126,Frankie,0,1
1019,2019,13,r,Fig,141,108,Rose,1,0
1020,2019,13,r,Timmy,89,101,Nordy,0,1
1021,2019,13,r,Billy,107,96,Big Boy,1,0
1022,2019,13,r,The Boo,75,94,DenR,0,1
1023,2019,DC,p,Chad,151,140,Timmy,1,0
1024,2019,DC,p,Timmy,140,151,Chad,0,1
1025,2019,SF,p,Timmy,154,143,Frankie,1,0
1026,2019,SF,p,Chad,148,145,Rose,1,0
1027,2019,SF,p,Frankie,143,154,Timmy,0,1
1028,2019,SF,p,Rose,145,148,Chad,0,1
1029,2019,WC,p,DenR,77,126,Timmy,0,1
1030,2019,WC,p,Chad,147,111,Nordy,1,0
1031,2019,WC,p,Timmy,126,77,DenR,1,0
1032,2019,WC,p,Nordy,111,147,Chad,0,1
1033,2020,1,r,Timmy,115,115,Big Boy,0,1
1034,2020,1,r,Billy,152,116,Rose,1,0
1035,2020,1,r,The Boo,113,167,Frankie,0,1
1036,2020,1,r,Fig,155,166,Chad,0,1
1037,2020,1,r,DenR,120,114,Nordy,1,0
1038,2020,1,r,Big Boy,115,115,Timmy,1,0
1039,2020,1,r,Rose,116,152,Billy,0,1
1040,2020,1,r,Frankie,167,113,The Boo,1,0
1041,2020,1,r,Chad,166,155,Fig,1,0
1042,2020,1,r,Nordy,114,120,DenR,0,1
1043,2020,2,r,The Boo,170,159,Billy,1,0
1044,2020,2,r,Big Boy,125,133,Fig,0,1
1045,2020,2,r,Timmy,162,89,DenR,1,0
1046,2020,2,r,Rose,135,115,Chad,1,0
1047,2020,2,r,Frankie,133,101,Nordy,1,0
